Source,CH1,CH2
Time,Volt,Volt
-0.00070000000,-4.96000,-0.66000
-0.00069980000,-4.96000,-0.68000
-0.00069960000,-4.96000,-0.66000
-0.00069940000,-4.96000,-0.66000
-0.00069920000,-4.96000,-0.66000
-0.00069900000,-4.96000,-0.66000
-0.00069880000,-4.96000,-0.66000
-0.00069860000,-4.96000,-0.66000
-0.00069840000,-4.96000,-0.66000
-0.00069820000,-4.96000,-0.66000
-0.00069800000,-4.96000,-0.66000
-0.00069780000,-4.96000,-0.66000
-0.00069760000,-4.96000,-0.66000
-0.00069740000,-4.96000,-0.66000
-0.00069720000,-4.88000,-0.66000
-0.00069700000,-4.96000,-0.66000
-0.00069680000,-4.96000,-0.66000
-0.00069660000,-4.96000,-0.64000
-0.00069640000,-4.96000,-0.64000
-0.00069620000,-4.96000,-0.64000
-0.00069600000,-4.96000,-0.64000
-0.00069580000,-4.96000,-0.64000
-0.00069560000,-4.96000,-0.66000
-0.00069540000,-4.96000,-0.64000
-0.00069520000,-4.96000,-0.64000
-0.00069500000,-4.96000,-0.64000
-0.00069480000,-4.96000,-0.64000
-0.00069460000,-4.96000,-0.64000
-0.00069440000,-4.96000,-0.64000
-0.00069420000,-4.96000,-0.64000
-0.00069400000,-4.96000,-0.64000
-0.00069380000,-4.96000,-0.64000
-0.00069360000,-4.96000,-0.64000
-0.00069340000,-4.96000,-0.64000
-0.00069320000,-4.96000,-0.64000
-0.00069300000,-4.96000,-0.64000
-0.00069280000,-4.96000,-0.64000
-0.00069260000,-4.96000,-0.64000
-0.00069240000,-4.96000,-0.62000
-0.00069220000,-4.96000,-0.64000
-0.00069200000,-4.96000,-0.62000
-0.00069180000,-4.96000,-0.62000
-0.00069160000,-4.96000,-0.62000
-0.00069140000,-4.96000,-0.62000
-0.00069120000,-4.96000,-0.62000
-0.00069100000,-4.96000,-0.62000
-0.00069080000,-4.96000,-0.62000
-0.00069060000,-4.96000,-0.62000
-0.00069040000,-4.96000,-0.62000
-0.00069020000,-4.96000,-0.62000
-0.00069000000,-4.96000,-0.62000
-0.00068980000,-4.96000,-0.62000
-0.00068960000,-4.96000,-0.62000
-0.00068940000,-4.96000,-0.62000
-0.00068920000,-4.96000,-0.62000
-0.00068900000,-4.96000,-0.62000
-0.00068880000,-4.96000,-0.62000
-0.00068860000,-4.96000,-0.62000
-0.00068840000,-4.96000,-0.62000
-0.00068820000,-4.96000,-0.62000
-0.00068800000,-4.96000,-0.62000
-0.00068780000,-4.96000,-0.62000
-0.00068760000,-4.96000,-0.62000
-0.00068740000,-4.96000,-0.60000
-0.00068720000,-4.96000,-0.60000
-0.00068700000,-4.96000,-0.60000
-0.00068680000,-4.88000,-0.60000
-0.00068660000,-4.96000,-0.60000
-0.00068640000,-4.96000,-0.60000
-0.00068620000,-4.96000,-0.62000
-0.00068600000,-4.96000,-0.60000
-0.00068580000,-4.96000,-0.60000
-0.00068560000,-4.96000,-0.60000
-0.00068540000,-4.96000,-0.60000
-0.00068520000,-4.96000,-0.60000
-0.00068500000,-4.96000,-0.60000
-0.00068480000,-4.96000,-0.60000
-0.00068460000,-4.96000,-0.60000
-0.00068440000,-4.96000,-0.60000
-0.00068420000,-4.96000,-0.60000
-0.00068400000,-4.96000,-0.60000
-0.00068380000,-4.96000,-0.60000
-0.00068360000,-4.96000,-0.60000
-0.00068340000,-4.96000,-0.60000
-0.00068320000,-4.96000,-0.60000
-0.00068300000,-4.96000,-0.60000
-0.00068280000,-4.96000,-0.58000
-0.00068260000,-4.96000,-0.60000
-0.00068240000,-4.96000,-0.60000
-0.00068220000,-4.96000,-0.60000
-0.00068200000,-5.04000,-0.60000
-0.00068180000,-4.96000,-0.60000
-0.00068160000,-4.96000,-0.60000
-0.00068140000,-4.96000,-0.60000
-0.00068120000,-4.96000,-0.58000
-0.00068100000,-4.96000,-0.58000
-0.00068080000,-4.96000,-0.58000
-0.00068060000,-4.96000,-0.58000
-0.00068040000,-4.96000,-0.58000
-0.00068020000,-4.96000,-0.58000
-0.00068000000,-4.96000,-0.58000
-0.00067980000,-4.96000,-0.58000
-0.00067960000,-4.96000,-0.58000
-0.00067940000,-4.96000,-0.58000
-0.00067920000,-4.96000,-0.58000
-0.00067900000,-4.96000,-0.58000
-0.00067880000,-4.96000,-0.58000
-0.00067860000,-4.88000,-0.58000
-0.00067840000,-4.96000,-0.58000
-0.00067820000,-4.96000,-0.58000
-0.00067800000,-4.96000,-0.58000
-0.00067780000,-4.96000,-0.58000
-0.00067760000,-4.96000,-0.58000
-0.00067740000,-4.96000,-0.58000
-0.00067720000,-4.96000,-0.56000
-0.00067700000,-4.96000,-0.58000
-0.00067680000,-4.96000,-0.58000
-0.00067660000,-4.96000,-0.56000
-0.00067640000,-4.96000,-0.56000
-0.00067620000,-4.96000,-0.56000
-0.00067600000,-4.96000,-0.56000
-0.00067580000,-4.96000,-0.56000
-0.00067560000,-4.96000,-0.56000
-0.00067540000,-4.96000,-0.56000
-0.00067520000,-4.96000,-0.56000
-0.00067500000,-4.96000,-0.56000
-0.00067480000,-4.96000,-0.56000
-0.00067460000,-4.96000,-0.56000
-0.00067440000,-4.96000,-0.56000
-0.00067420000,-4.96000,-0.56000
-0.00067400000,-4.96000,-0.56000
-0.00067380000,-4.96000,-0.56000
-0.00067360000,-4.96000,-0.56000
-0.00067340000,-4.96000,-0.56000
-0.00067320000,-4.96000,-0.56000
-0.00067300000,-4.96000,-0.56000
-0.00067280000,-4.96000,-0.56000
-0.00067260000,-4.96000,-0.56000
-0.00067240000,-4.96000,-0.56000
-0.00067220000,-4.96000,-0.56000
-0.00067200000,-4.96000,-0.56000
-0.00067180000,-4.96000,-0.56000
-0.00067160000,-4.96000,-0.54000
-0.00067140000,-4.96000,-0.54000
-0.00067120000,-4.96000,-0.54000
-0.00067100000,-4.96000,-0.54000
-0.00067080000,-4.96000,-0.54000
-0.00067060000,-4.96000,-0.54000
-0.00067040000,-4.96000,-0.54000
-0.00067020000,-4.96000,-0.54000
-0.00067000000,-4.96000,-0.54000
-0.00066980000,-4.96000,-0.54000
-0.00066960000,-4.96000,-0.54000
-0.00066940000,-4.96000,-0.54000
-0.00066920000,-4.96000,-0.54000
-0.00066900000,-4.96000,-0.54000
-0.00066880000,-4.96000,-0.54000
-0.00066860000,-4.96000,-0.54000
