Source,CH1,CH2
Time,Volt,Volt
-0.00035000000,0.00,-1.20000
-0.00034995000,0.20000,-1.20000
-0.00034990000,0.20000,-1.20000
-0.00034985000,0.20000,-1.20000
-0.00034980000,0.20000,-1.12000
-0.00034975000,0.20000,-1.20000
-0.00034970000,0.20000,-1.20000
-0.00034965000,0.20000,-1.20000
-0.00034960000,0.20000,-1.20000
-0.00034955000,0.00,-1.20000
-0.00034950000,0.20000,-1.20000
-0.00034945000,0.20000,-1.20000
-0.00034940000,0.00,-1.20000
-0.00034935000,0.20000,-1.20000
-0.00034930000,0.20000,-1.20000
-0.00034925000,0.20000,-1.20000
-0.00034920000,0.00,-1.20000
-0.00034915000,0.20000,-1.20000
-0.00034910000,0.20000,-1.12000
-0.00034905000,0.20000,-1.20000
-0.00034900000,0.20000,-1.28000
-0.00034895000,0.00,-1.20000
-0.00034890000,0.20000,-1.20000
-0.00034885000,0.20000,-1.20000
-0.00034880000,0.20000,-1.20000
-0.00034875000,0.20000,-1.20000
-0.00034870000,0.20000,-1.20000
-0.00034865000,0.00,-1.20000
-0.00034860000,0.20000,-1.20000
-0.00034855000,0.20000,-1.20000
-0.00034850000,0.00,-1.20000
-0.00034845000,0.20000,-1.12000
-0.00034840000,0.20000,-1.20000
-0.00034835000,0.20000,-1.12000
-0.00034830000,0.00,-1.20000
-0.00034825000,0.00,-1.20000
-0.00034820000,0.20000,-1.12000
-0.00034815000,0.20000,-1.20000
-0.00034810000,0.20000,-1.12000
-0.00034805000,0.20000,-1.20000
-0.00034800000,0.20000,-1.20000
-0.00034795000,0.00,-1.20000
-0.00034790000,0.00,-1.20000
-0.00034785000,0.20000,-1.20000
-0.00034780000,0.00,-1.12000
-0.00034775000,0.20000,-1.20000
-0.00034770000,0.00,-1.20000
-0.00034765000,0.20000,-1.12000
-0.00034760000,0.00,-1.20000
-0.00034755000,0.20000,-1.20000
-0.00034750000,0.20000,-1.20000
-0.00034745000,0.20000,-1.20000
-0.00034740000,0.20000,-1.20000
-0.00034735000,0.20000,-1.20000
-0.00034730000,0.00,-1.20000
-0.00034725000,0.20000,-1.20000
-0.00034720000,0.20000,-1.20000
-0.00034715000,0.20000,-1.20000
-0.00034710000,0.20000,-1.20000
-0.00034705000,0.00,-1.20000
-0.00034700000,0.20000,-1.20000
-0.00034695000,0.00,-1.20000
-0.00034690000,0.20000,-1.20000
-0.00034685000,0.00,-1.12000
-0.00034680000,0.00,-1.20000
-0.00034675000,0.20000,-1.20000
-0.00034670000,0.00,-1.12000
-0.00034665000,0.00,-1.20000
-0.00034660000,0.20000,-1.20000
-0.00034655000,0.00,-1.20000
-0.00034650000,0.20000,-1.12000
-0.00034645000,0.20000,-1.20000
-0.00034640000,0.20000,-1.12000
-0.00034635000,0.00,-1.20000
-0.00034630000,0.00,-1.20000
-0.00034625000,0.00,-1.12000
-0.00034620000,0.20000,-1.20000
-0.00034615000,0.00,-1.20000
-0.00034610000,0.20000,-1.20000
-0.00034605000,0.20000,-1.20000
-0.00034600000,0.20000,-1.20000
-0.00034595000,0.00,-1.20000
-0.00034590000,0.20000,-1.20000
-0.00034585000,0.20000,-1.20000
-0.00034580000,0.20000,-1.12000
-0.00034575000,0.00,-1.20000
-0.00034570000,0.20000,-1.20000
-0.00034565000,0.20000,-1.20000
-0.00034560000,0.20000,-1.12000
-0.00034555000,0.00,-1.20000
-0.00034550000,0.20000,-1.12000
-0.00034545000,0.00,-1.12000
-0.00034540000,0.20000,-1.12000
-0.00034535000,0.20000,-1.12000
-0.00034530000,0.20000,-1.12000
-0.00034525000,0.20000,-1.12000
-0.00034520000,0.00,-1.20000
-0.00034515000,0.00,-1.12000
-0.00034510000,0.20000,-1.12000
-0.00034505000,0.00,-1.12000
-0.00034500000,0.20000,-1.20000
-0.00034495000,0.20000,-1.12000
-0.00034490000,0.20000,-1.12000
-0.00034485000,0.00,-1.12000
-0.00034480000,0.00,-1.12000
-0.00034475000,0.20000,-1.20000
-0.00034470000,0.20000,-1.12000
-0.00034465000,0.00,-1.12000
-0.00034460000,0.00,-1.20000
-0.00034455000,0.20000,-1.20000
-0.00034450000,0.00,-1.12000
-0.00034445000,0.20000,-1.20000
-0.00034440000,0.00,-1.12000
-0.00034435000,0.20000,-1.12000
-0.00034430000,0.20000,-1.20000
-0.00034425000,0.20000,-1.20000
-0.00034420000,0.20000,-1.12000
-0.00034415000,0.20000,-1.12000
-0.00034410000,0.20000,-1.12000
-0.00034405000,0.00,-1.20000
-0.00034400000,0.20000,-1.20000
-0.00034395000,0.20000,-1.12000
-0.00034390000,0.00,-1.12000
-0.00034385000,0.20000,-1.20000
-0.00034380000,0.20000,-1.20000
-0.00034375000,0.20000,-1.12000
-0.00034370000,0.20000,-1.20000
-0.00034365000,0.00,-1.12000
-0.00034360000,0.00,-1.12000
-0.00034355000,0.00,-1.12000
-0.00034350000,0.00,-1.12000
-0.00034345000,0.20000,-1.20000
-0.00034340000,0.20000,-1.12000
-0.00034335000,0.20000,-1.12000
-0.00034330000,0.20000,-1.12000
-0.00034325000,0.20000,-1.20000
-0.00034320000,0.00,-1.20000
-0.00034315000,0.20000,-1.20000
-0.00034310000,0.00,-1.12000
-0.00034305000,0.20000,-1.12000
-0.00034300000,0.20000,-1.12000
-0.00034295000,0.00,-1.12000
-0.00034290000,0.20000,-1.12000
-0.00034285000,0.20000,-1.12000
-0.00034280000,0.20000,-1.12000
-0.00034275000,0.00,-1.20000
-0.00034270000,0.00,-1.20000
-0.00034265000,0.20000,-1.12000
-0.00034260000,0.20000,-1.12000
-0.00034255000,0.20000,-1.12000
-0.00034250000,0.00,-1.20000
-0.00034245000,0.00,-1.12000
-0.00034240000,0.00,-1.20000
-0.00034235000,0.00,-1.12000
-0.00034230000,0.20000,-1.12000
-0.00034225000,0.20000,-1.12000
-0.00034220000,0.20000,-1.12000
-0.00034215000,0.20000,-1.12000
-0.00034210000,0.20000,-1.12000
-0.00034205000,0.20000,-1.12000
-0.00034200000,0.20000,-1.04000
-0.00034195000,0.20000,-1.12000
-0.00034190000,0.20000,-1.12000
-0.00034185000,0.20000,-1.12000
-0.00034180000,0.20000,-1.12000
-0.00034175000,0.20000,-1.12000
-0.00034170000,0.20000,-1.12000
-0.00034165000,0.20000,-1.12000
-0.00034160000,0.20000,-1.12000
-0.00034155000,0.20000,-1.20000
-0.00034150000,0.00,-1.12000
-0.00034145000,0.20000,-1.12000
-0.00034140000,0.00,-1.12000
-0.00034135000,0.20000,-1.20000
-0.00034130000,0.00,-1.12000
-0.00034125000,0.20000,-1.12000
-0.00034120000,0.20000,-1.12000
-0.00034115000,0.20000,-1.12000
-0.00034110000,0.20000,-1.12000
-0.00034105000,0.20000,-1.12000
-0.00034100000,0.00,-1.20000
-0.00034095000,0.20000,-1.20000
-0.00034090000,0.00,-1.12000
-0.00034085000,0.20000,-1.12000
-0.00034080000,0.00,-1.12000
-0.00034075000,0.20000,-1.12000
-0.00034070000,0.00,-1.20000
-0.00034065000,0.20000,-1.12000
-0.00034060000,0.00,-1.20000
-0.00034055000,0.20000,-1.20000
-0.00034050000,0.00,-1.12000
-0.00034045000,0.20000,-1.12000
-0.00034040000,0.20000,-1.12000
-0.00034035000,0.20000,-1.12000
-0.00034030000,0.00,-1.12000
-0.00034025000,0.00,-1.12000
-0.00034020000,0.00,-1.12000
-0.00034015000,0.20000,-1.12000
-0.00034010000,0.00,-1.12000
-0.00034005000,0.20000,-1.12000
-0.00034000000,0.20000,-1.12000
-0.00033995000,0.20000,-1.12000
-0.00033990000,0.20000,-1.12000
-0.00033985000,0.20000,-1.12000
-0.00033980000,0.00,-1.12000
-0.00033975000,0.20000,-1.12000
-0.00033970000,0.20000,-1.12000
-0.00033965000,0.00,-1.12000
-0.00033960000,0.00,-1.12000
-0.00033955000,0.20000,-1.12000
-0.00033950000,0.20000,-1.12000
-0.00033945000,0.20000,-1.12000
-0.00033940000,0.20000,-1.12000
-0.00033935000,0.20000,-1.12000
-0.00033930000,0.20000,-1.12000
-0.00033925000,0.00,-1.12000
-0.00033920000,0.00,-1.04000
-0.00033915000,0.20000,-1.04000
-0.00033910000,0.20000,-1.12000
-0.00033905000,0.20000,-1.12000
-0.00033900000,0.00,-1.12000
-0.00033895000,0.00,-1.12000
-0.00033890000,0.00,-1.12000
-0.00033885000,0.00,-1.04000
-0.00033880000,0.20000,-1.12000
-0.00033875000,0.20000,-1.12000
-0.00033870000,0.20000,-1.12000
-0.00033865000,0.20000,-1.12000
-0.00033860000,0.00,-1.12000
-0.00033855000,0.20000,-1.12000
-0.00033850000,0.00,-1.12000
-0.00033845000,0.20000,-1.12000
-0.00033840000,0.20000,-1.12000
-0.00033835000,0.20000,-1.12000
-0.00033830000,0.20000,-1.12000
-0.00033825000,0.20000,-1.12000
-0.00033820000,0.20000,-1.04000
-0.00033815000,0.20000,-1.12000
-0.00033810000,0.20000,-1.04000
-0.00033805000,0.20000,-1.12000
-0.00033800000,0.20000,-1.12000
-0.00033795000,0.20000,-1.04000
-0.00033790000,0.00,-1.12000
-0.00033785000,0.20000,-1.12000
-0.00033780000,0.00,-1.12000
-0.00033775000,0.20000,-1.12000
-0.00033770000,0.20000,-1.12000
-0.00033765000,0.20000,-1.12000
-0.00033760000,0.00,-1.12000
-0.00033755000,0.20000,-1.20000
-0.00033750000,0.00,-1.12000
-0.00033745000,0.00,-1.12000
-0.00033740000,0.00,-1.04000
-0.00033735000,0.00,-1.12000
-0.00033730000,0.00,-1.20000
-0.00033725000,0.20000,-1.12000
-0.00033720000,0.20000,-1.04000
-0.00033715000,0.20000,-1.12000
-0.00033710000,0.20000,-1.12000
-0.00033705000,0.20000,-1.12000
-0.00033700000,0.20000,-1.12000
-0.00033695000,0.20000,-1.12000
-0.00033690000,0.20000,-1.12000
-0.00033685000,0.20000,-1.04000
-0.00033680000,0.00,-1.12000
-0.00033675000,0.00,-1.12000
-0.00033670000,0.20000,-1.12000
-0.00033665000,0.20000,-1.12000
-0.00033660000,0.20000,-1.12000
-0.00033655000,0.20000,-1.04000
-0.00033650000,0.20000,-1.12000
-0.00033645000,0.20000,-1.12000
-0.00033640000,0.00,-1.12000
-0.00033635000,0.20000,-1.12000
-0.00033630000,0.20000,-1.12000
-0.00033625000,0.20000,-1.12000
-0.00033620000,0.20000,-1.12000
-0.00033615000,0.20000,-1.12000
-0.00033610000,0.20000,-1.04000
-0.00033605000,0.00,-1.04000
-0.00033600000,0.20000,-1.04000
-0.00033595000,0.20000,-1.12000
-0.00033590000,0.20000,-1.12000
-0.00033585000,0.00,-1.12000
-0.00033580000,0.20000,-1.12000
-0.00033575000,0.00,-1.12000
-0.00033570000,0.00,-1.04000
-0.00033565000,0.20000,-1.12000
-0.00033560000,0.20000,-1.04000
-0.00033555000,0.00,-1.12000
-0.00033550000,0.20000,-1.12000
-0.00033545000,0.00,-1.12000
-0.00033540000,0.20000,-1.04000
-0.00033535000,0.20000,-1.12000
-0.00033530000,0.20000,-1.12000
-0.00033525000,0.20000,-1.12000
-0.00033520000,0.00,-1.04000
-0.00033515000,0.20000,-1.12000
-0.00033510000,0.20000,-1.12000
-0.00033505000,0.20000,-1.12000
-0.00033500000,0.20000,-1.12000
-0.00033495000,0.20000,-1.12000
-0.00033490000,0.20000,-1.12000
-0.00033485000,0.00,-1.04000
-0.00033480000,0.00,-1.12000
-0.00033475000,0.00,-1.04000
-0.00033470000,0.20000,-1.04000
-0.00033465000,0.00,-1.12000
-0.00033460000,0.00,-1.12000
-0.00033455000,0.00,-1.12000
-0.00033450000,0.20000,-1.12000
-0.00033445000,0.20000,-1.04000
-0.00033440000,0.20000,-1.12000
-0.00033435000,0.20000,-1.04000
-0.00033430000,0.00,-1.12000
-0.00033425000,0.20000,-1.04000
-0.00033420000,0.00,-1.04000
-0.00033415000,0.00,-1.12000
-0.00033410000,0.20000,-1.12000
-0.00033405000,0.20000,-1.04000
-0.00033400000,0.00,-1.12000
-0.00033395000,0.20000,-1.12000
-0.00033390000,0.20000,-1.12000
-0.00033385000,0.20000,-1.12000
-0.00033380000,0.00,-1.04000
-0.00033375000,0.20000,-1.04000
-0.00033370000,0.00,-1.12000
-0.00033365000,0.00,-1.12000
-0.00033360000,0.00,-1.12000
-0.00033355000,0.00,-1.04000
-0.00033350000,0.20000,-1.04000
-0.00033345000,0.20000,-1.12000
-0.00033340000,0.00,-1.04000
-0.00033335000,0.00,-1.04000
-0.00033330000,7.20000,-1.04000
-0.00033325000,9.60000,-1.12000
-0.00033320000,9.60000,-1.04000
-0.00033315000,9.40000,-1.04000
-0.00033310000,9.40000,-1.04000
-0.00033305000,9.40000,-0.96000
-0.00033300000,9.40000,-1.04000
-0.00033295000,9.40000,-0.96000
-0.00033290000,9.40000,-1.04000
-0.00033285000,9.40000,-0.96000
-0.00033280000,9.40000,-0.96000
-0.00033275000,9.40000,-0.88000
-0.00033270000,9.40000,-0.96000
-0.00033265000,9.40000,-0.96000
-0.00033260000,9.40000,-0.96000
-0.00033255000,9.40000,-0.88000
-0.00033250000,9.40000,-0.88000
-0.00033245000,9.40000,-0.88000
-0.00033240000,9.40000,-0.88000
-0.00033235000,9.40000,-0.80000
-0.00033230000,9.40000,-0.88000
-0.00033225000,9.40000,-0.88000
-0.00033220000,9.40000,-0.88000
-0.00033215000,9.40000,-0.88000
-0.00033210000,9.40000,-0.80000
-0.00033205000,9.40000,-0.88000
-0.00033200000,9.40000,-0.80000
-0.00033195000,9.40000,-0.88000
-0.00033190000,9.40000,-0.88000
-0.00033185000,9.40000,-0.80000
-0.00033180000,9.60000,-0.80000
-0.00033175000,9.40000,-0.80000
-0.00033170000,9.40000,-0.80000
-0.00033165000,9.40000,-0.72000
-0.00033160000,9.40000,-0.72000
-0.00033155000,9.60000,-0.72000
-0.00033150000,9.40000,-0.72000
-0.00033145000,9.40000,-0.72000
-0.00033140000,9.60000,-0.72000
-0.00033135000,9.40000,-0.72000
-0.00033130000,9.40000,-0.64000
-0.00033125000,9.60000,-0.72000
-0.00033120000,9.40000,-0.64000
-0.00033115000,9.40000,-0.64000
-0.00033110000,9.40000,-0.64000
-0.00033105000,9.40000,-0.56000
-0.00033100000,9.40000,-0.64000
-0.00033095000,9.40000,-0.64000
-0.00033090000,9.40000,-0.56000
-0.00033085000,9.40000,-0.56000
-0.00033080000,9.40000,-0.56000
-0.00033075000,9.40000,-0.56000
-0.00033070000,9.60000,-0.56000
-0.00033065000,9.40000,-0.56000
-0.00033060000,9.40000,-0.56000
-0.00033055000,9.40000,-0.48000
-0.00033050000,9.40000,-0.48000
-0.00033045000,9.60000,-0.56000
-0.00033040000,9.60000,-0.48000
-0.00033035000,9.60000,-0.48000
-0.00033030000,9.40000,-0.48000
-0.00033025000,9.60000,-0.56000
-0.00033020000,9.40000,-0.48000
-0.00033015000,9.40000,-0.48000
-0.00033010000,9.60000,-0.48000
-0.00033005000,9.60000,-0.48000
-0.00033000000,9.60000,-0.40000
-0.00032995000,9.40000,-0.40000
-0.00032990000,9.60000,-0.40000
-0.00032985000,9.60000,-0.40000
-0.00032980000,9.60000,-0.40000
-0.00032975000,9.40000,-0.48000
-0.00032970000,9.60000,-0.40000
-0.00032965000,9.60000,-0.40000
-0.00032960000,9.60000,-0.40000
-0.00032955000,9.60000,-0.40000
-0.00032950000,9.40000,-0.40000
-0.00032945000,9.60000,-0.32000
-0.00032940000,9.60000,-0.32000
-0.00032935000,9.60000,-0.40000
-0.00032930000,9.60000,-0.32000
-0.00032925000,9.60000,-0.24000
-0.00032920000,9.60000,-0.24000
-0.00032915000,9.40000,-0.40000
-0.00032910000,9.40000,-0.32000
-0.00032905000,9.40000,-0.32000
-0.00032900000,9.60000,-0.24000
-0.00032895000,9.60000,-0.32000
-0.00032890000,9.60000,-0.32000
-0.00032885000,9.60000,-0.24000
-0.00032880000,9.40000,-0.24000
-0.00032875000,9.60000,-0.24000
-0.00032870000,9.60000,-0.24000
-0.00032865000,9.60000,-0.24000
-0.00032860000,9.60000,-0.24000
-0.00032855000,9.40000,-0.24000
-0.00032850000,9.60000,-0.24000
-0.00032845000,9.60000,-0.16000
-0.00032840000,9.60000,-0.24000
-0.00032835000,9.40000,-0.16000
-0.00032830000,9.40000,-0.24000
-0.00032825000,9.60000,-0.16000
-0.00032820000,9.60000,-0.16000
-0.00032815000,9.60000,-0.16000
-0.00032810000,9.40000,-0.16000
-0.00032805000,9.60000,-0.16000
-0.00032800000,9.40000,-0.16000
-0.00032795000,9.60000,-0.16000
-0.00032790000,9.60000,-0.16000
-0.00032785000,9.40000,-0.16000
-0.00032780000,9.60000,-0.16000
-0.00032775000,9.40000,-0.08000
-0.00032770000,9.60000,-0.08000
-0.00032765000,9.60000,-0.08000
-0.00032760000,9.60000,-0.08000
-0.00032755000,9.60000,-0.08000
-0.00032750000,9.40000,-0.08000
-0.00032745000,9.60000,-0.08000
-0.00032740000,9.60000,-0.08000
-0.00032735000,9.60000,-0.08000
-0.00032730000,9.60000,-0.08000
-0.00032725000,9.40000,0.00
-0.00032720000,9.60000,0.00
-0.00032715000,9.60000,0.00
-0.00032710000,9.60000,0.00
-0.00032705000,9.60000,0.00
-0.00032700000,9.60000,0.00
-0.00032695000,9.60000,0.00
-0.00032690000,9.60000,0.08000
-0.00032685000,9.40000,0.00
-0.00032680000,9.60000,0.00
-0.00032675000,9.60000,0.00
-0.00032670000,9.60000,0.00
-0.00032665000,9.60000,0.00
-0.00032660000,9.60000,0.08000
-0.00032655000,9.60000,0.08000
-0.00032650000,9.60000,0.08000
-0.00032645000,9.60000,0.08000
-0.00032640000,9.60000,0.08000
-0.00032635000,9.60000,0.08000
-0.00032630000,9.60000,0.08000
-0.00032625000,9.60000,0.16000
-0.00032620000,9.60000,0.16000
-0.00032615000,9.60000,0.08000
-0.00032610000,9.60000,0.16000
-0.00032605000,9.60000,0.16000
-0.00032600000,9.60000,0.16000
-0.00032595000,9.60000,0.08000
-0.00032590000,9.60000,0.08000
-0.00032585000,9.60000,0.16000
-0.00032580000,9.60000,0.08000
-0.00032575000,9.60000,0.16000
-0.00032570000,9.60000,0.16000
-0.00032565000,9.60000,0.16000
-0.00032560000,9.60000,0.16000
-0.00032555000,9.60000,0.16000
-0.00032550000,9.60000,0.16000
-0.00032545000,9.60000,0.16000
-0.00032540000,9.60000,0.24000
-0.00032535000,9.60000,0.16000
-0.00032530000,9.60000,0.24000
-0.00032525000,9.60000,0.24000
-0.00032520000,9.60000,0.24000
-0.00032515000,9.60000,0.24000
-0.00032510000,9.60000,0.32000
-0.00032505000,9.60000,0.24000
-0.00032500000,9.60000,0.24000
-0.00032495000,9.60000,0.24000
-0.00032490000,9.60000,0.24000
-0.00032485000,9.60000,0.32000
-0.00032480000,9.60000,0.24000
-0.00032475000,9.60000,0.24000
-0.00032470000,9.60000,0.40000
-0.00032465000,9.60000,0.32000
-0.00032460000,9.60000,0.32000
-0.00032455000,9.60000,0.32000
-0.00032450000,9.60000,0.32000
-0.00032445000,9.60000,0.32000
-0.00032440000,9.60000,0.32000
-0.00032435000,9.60000,0.32000
-0.00032430000,9.60000,0.32000
-0.00032425000,9.60000,0.32000
-0.00032420000,9.60000,0.32000
-0.00032415000,9.60000,0.40000
-0.00032410000,9.60000,0.32000
-0.00032405000,9.60000,0.40000
-0.00032400000,9.60000,0.40000
-0.00032395000,9.60000,0.32000
-0.00032390000,9.60000,0.40000
-0.00032385000,9.60000,0.40000
-0.00032380000,9.60000,0.40000
-0.00032375000,9.60000,0.40000
-0.00032370000,9.60000,0.40000
-0.00032365000,9.60000,0.48000
-0.00032360000,9.60000,0.40000
-0.00032355000,9.60000,0.40000
-0.00032350000,9.60000,0.40000
-0.00032345000,9.60000,0.48000
-0.00032340000,9.60000,0.40000
-0.00032335000,9.60000,0.48000
-0.00032330000,9.60000,0.48000
-0.00032325000,9.60000,0.48000
-0.00032320000,9.60000,0.48000
-0.00032315000,9.60000,0.40000
-0.00032310000,9.60000,0.48000
-0.00032305000,9.60000,0.48000
-0.00032300000,9.60000,0.48000
-0.00032295000,9.60000,0.48000
-0.00032290000,9.60000,0.56000
-0.00032285000,9.60000,0.56000
-0.00032280000,9.60000,0.48000
-0.00032275000,9.60000,0.40000
-0.00032270000,9.60000,0.48000
-0.00032265000,9.60000,0.56000
-0.00032260000,9.60000,0.56000
-0.00032255000,9.60000,0.48000
-0.00032250000,9.60000,0.48000
-0.00032245000,9.60000,0.64000
-0.00032240000,9.60000,0.56000
-0.00032235000,9.60000,0.56000
-0.00032230000,9.60000,0.56000
-0.00032225000,9.60000,0.56000
-0.00032220000,9.60000,0.56000
-0.00032215000,9.60000,0.56000
-0.00032210000,9.60000,0.56000
-0.00032205000,9.60000,0.64000
-0.00032200000,9.80000,0.56000
-0.00032195000,9.60000,0.56000
-0.00032190000,9.60000,0.56000
-0.00032185000,9.80000,0.64000
-0.00032180000,9.80000,0.64000
-0.00032175000,9.60000,0.56000
-0.00032170000,9.80000,0.64000
-0.00032165000,9.60000,0.64000
-0.00032160000,9.60000,0.64000
-0.00032155000,9.60000,0.64000
-0.00032150000,9.60000,0.72000
-0.00032145000,9.60000,0.64000
