Source,CH1,CH2
Time,Volt,Volt
-0.00140000000,-1.68000,-0.48000
-0.00139960000,-1.68000,-0.48000
-0.00139920000,-1.68000,-0.48000
-0.00139880000,-1.68000,-0.48000
-0.00139840000,-1.68000,-0.48000
-0.00139800000,-1.68000,-0.48000
-0.00139760000,-1.68000,-0.44000
-0.00139720000,-1.68000,-0.48000
-0.00139680000,-1.68000,-0.48000
-0.00139640000,-1.64000,-0.48000
-0.00139600000,-1.68000,-0.48000
-0.00139560000,-1.64000,-0.44000
-0.00139520000,-1.64000,-0.44000
-0.00139480000,-1.64000,-0.48000
-0.00139440000,-1.64000,-0.48000
-0.00139400000,-1.64000,-0.44000
-0.00139360000,-1.64000,-0.44000
-0.00139320000,-1.64000,-0.44000
-0.00139280000,-1.64000,-0.44000
-0.00139240000,-1.64000,-0.44000
-0.00139200000,-1.60000,-0.44000
-0.00139160000,-1.64000,-0.44000
-0.00139120000,-1.60000,-0.44000
-0.00139080000,-1.60000,-0.44000
-0.00139040000,-1.60000,-0.44000
-0.00139000000,-1.60000,-0.44000
-0.00138960000,-1.60000,-0.44000
-0.00138920000,-1.60000,-0.44000
-0.00138880000,-1.60000,-0.44000
-0.00138840000,-1.60000,-0.44000
-0.00138800000,-1.60000,-0.44000
-0.00138760000,-1.56000,-0.44000
-0.00138720000,-1.56000,-0.44000
-0.00138680000,-1.56000,-0.44000
-0.00138640000,-1.56000,-0.44000
-0.00138600000,-1.56000,-0.44000
-0.00138560000,-1.56000,-0.40000
-0.00138520000,-1.56000,-0.44000
-0.00138480000,-1.52000,-0.40000
-0.00138440000,-1.52000,-0.44000
-0.00138400000,-1.56000,-0.40000
-0.00138360000,-1.52000,-0.40000
-0.00138320000,-1.52000,-0.40000
-0.00138280000,-1.52000,-0.40000
-0.00138240000,-1.52000,-0.40000
-0.00138200000,-1.52000,-0.40000
-0.00138160000,-1.52000,-0.40000
-0.00138120000,-1.52000,-0.40000
-0.00138080000,-1.52000,-0.40000
-0.00138040000,-1.52000,-0.40000
-0.00138000000,-1.48000,-0.40000
-0.00137960000,-1.48000,-0.40000
-0.00137920000,-1.48000,-0.40000
-0.00137880000,-1.48000,-0.40000
-0.00137840000,-1.48000,-0.40000
-0.00137800000,-1.48000,-0.40000
-0.00137760000,-1.48000,-0.36000
-0.00137720000,-1.48000,-0.36000
-0.00137680000,-1.48000,-0.40000
-0.00137640000,-1.48000,-0.40000
-0.00137600000,-1.48000,-0.36000
-0.00137560000,-1.44000,-0.36000
-0.00137520000,-1.44000,-0.36000
-0.00137480000,-1.44000,-0.40000
-0.00137440000,-1.44000,-0.40000
-0.00137400000,-1.44000,-0.36000
-0.00137360000,-1.44000,-0.36000
-0.00137320000,-1.44000,-0.36000
-0.00137280000,-1.44000,-0.36000
-0.00137240000,-1.44000,-0.36000
-0.00137200000,-1.44000,-0.36000
-0.00137160000,-1.44000,-0.36000
-0.00137120000,-1.44000,-0.36000
-0.00137080000,-1.40000,-0.36000
-0.00137040000,-1.40000,-0.36000
-0.00137000000,-1.40000,-0.36000
-0.00136960000,-1.40000,-0.32000
-0.00136920000,-1.40000,-0.32000
-0.00136880000,-1.40000,-0.36000
-0.00136840000,-1.40000,-0.32000
-0.00136800000,-1.40000,-0.32000
-0.00136760000,-1.40000,-0.32000
-0.00136720000,-1.40000,-0.32000
-0.00136680000,-1.36000,-0.32000
-0.00136640000,-1.36000,-0.32000
-0.00136600000,-1.36000,-0.32000
-0.00136560000,-1.36000,-0.32000
-0.00136520000,-1.36000,-0.32000
-0.00136480000,-1.36000,-0.32000
-0.00136440000,-1.36000,-0.32000
-0.00136400000,-1.36000,-0.32000
-0.00136360000,-1.36000,-0.32000
-0.00136320000,-1.32000,-0.32000
-0.00136280000,-1.32000,-0.32000
-0.00136240000,-1.32000,-0.32000
-0.00136200000,-1.32000,-0.28000
-0.00136160000,-1.32000,-0.32000
-0.00136120000,-1.32000,-0.28000
-0.00136080000,-1.32000,-0.28000
-0.00136040000,-1.32000,-0.28000
-0.00136000000,-1.32000,-0.28000
-0.00135960000,-1.32000,-0.28000
-0.00135920000,-1.28000,-0.28000
-0.00135880000,-1.28000,-0.28000
-0.00135840000,-1.28000,-0.28000
-0.00135800000,-1.28000,-0.28000
-0.00135760000,-1.28000,-0.28000
-0.00135720000,-1.28000,-0.28000
-0.00135680000,-1.28000,-0.28000
-0.00135640000,-1.28000,-0.28000
-0.00135600000,-1.28000,-0.28000
-0.00135560000,-1.28000,-0.24000
-0.00135520000,-1.24000,-0.28000
-0.00135480000,-1.28000,-0.28000
-0.00135440000,-1.24000,-0.24000
-0.00135400000,-1.24000,-0.24000
-0.00135360000,-1.24000,-0.24000
-0.00135320000,-1.24000,-0.24000
-0.00135280000,-1.24000,-0.24000
-0.00135240000,-1.20000,-0.24000
-0.00135200000,-1.20000,-0.24000
-0.00135160000,-1.24000,-0.24000
-0.00135120000,-1.24000,-0.24000
-0.00135080000,-1.20000,-0.24000
-0.00135040000,-1.20000,-0.24000
-0.00135000000,-1.20000,-0.24000
-0.00134960000,-1.20000,-0.24000
-0.00134920000,-1.20000,-0.24000
-0.00134880000,-1.20000,-0.24000
-0.00134840000,-1.20000,-0.24000
-0.00134800000,-1.16000,-0.20000
-0.00134760000,-1.20000,-0.20000
-0.00134720000,-1.16000,-0.20000
-0.00134680000,-1.16000,-0.20000
-0.00134640000,-1.16000,-0.20000
-0.00134600000,-1.16000,-0.20000
-0.00134560000,-1.16000,-0.24000
-0.00134520000,-1.16000,-0.20000
-0.00134480000,-1.16000,-0.20000
-0.00134440000,-1.16000,-0.20000
-0.00134400000,-1.16000,-0.20000
-0.00134360000,-1.16000,-0.20000
-0.00134320000,-1.12000,-0.20000
-0.00134280000,-1.12000,-0.20000
-0.00134240000,-1.12000,-0.20000
-0.00134200000,-1.12000,-0.16000
-0.00134160000,-1.12000,-0.16000
-0.00134120000,-1.12000,-0.16000
-0.00134080000,-1.12000,-0.20000
-0.00134040000,-1.12000,-0.16000
-0.00134000000,-1.12000,-0.16000
-0.00133960000,-1.08000,-0.16000
-0.00133920000,-1.08000,-0.16000
-0.00133880000,-1.08000,-0.16000
-0.00133840000,-1.08000,-0.16000
-0.00133800000,-1.08000,-0.16000
-0.00133760000,-1.08000,-0.16000
-0.00133720000,-1.08000,-0.16000
-0.00133680000,-1.08000,-0.16000
-0.00133640000,-1.08000,-0.12000
-0.00133600000,-1.08000,-0.16000
-0.00133560000,-1.04000,-0.16000
-0.00133520000,-1.04000,-0.16000
-0.00133480000,-1.04000,-0.12000
-0.00133440000,-1.04000,-0.12000
-0.00133400000,-1.04000,-0.12000
-0.00133360000,-1.04000,-0.16000
-0.00133320000,-1.04000,-0.12000
-0.00133280000,-1.04000,-0.12000
-0.00133240000,-1.00000,-0.12000
-0.00133200000,-1.00000,-0.12000
-0.00133160000,-1.00000,-0.12000
-0.00133120000,-1.00000,-0.12000
-0.00133080000,-1.00000,-0.12000
-0.00133040000,-1.00000,-0.12000
-0.00133000000,-1.00000,-0.12000
-0.00132960000,-1.00000,-0.12000
-0.00132920000,-1.00000,-0.08000
-0.00132880000,-1.00000,-0.08000
-0.00132840000,-1.00000,-0.08000
-0.00132800000,-1.00000,-0.08000
-0.00132760000,-0.96000,-0.08000
-0.00132720000,-0.96000,-0.08000
